,message,vegetables
429,Schmeckt wie frisch gepflückt.,0.6214623638149009
1217,"Heute wollen wir euch exklusiv unsere neue Sorte für 2011 vorstellen: Coconutterly fair, das ist Cremige Schokoladeneiscreme mit einem Kokosnuss-Karamell-Strudel und knusprigen Karamell-Kokosnuss-Stückchen!",0.5425213667039603
595,Frucht trifft auf Käse - was kann das sein? #flavour #quiz,0.5297884802893733
69,So schmeckt der Frühling.,0.5194679468094658
50,So klein und schon so lecker.,0.5160110429534501
1242,"Muh zusammen! Wir brauchen mal Eure Hilfe... Wie Ihr wisst, arbeiten wir daran, unser gesamtes Eis auf Fairtrade umzustellen. Das heisst: Vanille, Zucker, Nüsse, Bananen und Kakao für unser Eis und die RIESENSTÜCKCHEN kommen jetzt aus fairem Handel. Wie findet Ihr das eigentlich? Mal ganz ehrlich...",0.5018150259743922
830,In 4 Tagen gibts ne neue Sorte auf die Löffel! Dazu ein Buchstabenrätsel...,0.5014611347830662
592,Errate die Sorte! Kriegst du das gebacken? Alle Ben & Jerry's Sorten findest Du hier ➡ www.benjerry.de/sorten,0.498122021601737
300,"Wer das nicht weiß, muss mehr Eis essen.",0.4966549208053662
292,Mit dem ist gut Kirschen essen.  benjerry.de/sorten/cookie-dough-eiscreme,0.4942566834977615
400,Uns schmeckt jede Liebe!,0.4906569543992618
176,Liebe schmeckt jedem anders.,0.4906569542808784
209,Manchmal schmeckt Erwachsen sein gar nicht süß.,0.4862783899699042
1059,"Eis, Eis, Baby! Heute machen wir in Hannover Freundinnen Tag und verschenken nur rosa-rote Eisbecher. Der Fairness halber gibt’s für die Jungs was in Blau! Sagt uns wo: www.FairIceTour.de oder findet uns auf dem Liveticker.",0.4720422882434069
1215,"Aufgepasst Eisliebhaber! Ab sofort ist das neue Ben & Jerry’s Wich erhältlich! Das Wich ist cremiges Vanilleeis mit Schokoladen-Stücken zwischen zwei saftigen Chocolate Chunk Cookies. Und wie es sich für Ben & Jerry’s gehört, ist das Wich natürlich auch Fairtrade! Wir sind gespannt wie es euch schmeckt...?",0.469034836200445
